Name,Roll_No,Regi_No,Class,Exam,Year,Date of Birth,Fathers Name,Mothers Name,Institute,Type,Email,Mobile No,Result,GPA,Group,English,Mathematics,ICT,Photos
Student name0,12200,18083377,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name1,18399,48185154,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name2,26467,46624888,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name3,21905,25826521,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name4,30710,50677572,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name5,45628,29894779,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name6,63341,15937071,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name7,77082,21684055,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name8,80615,33957878,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
Student name9,87430,33529062,Class 6,Exam no 3,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,25231973,Passed,3.0,Group Name,42,83,52,URL
