Name,Roll_No,Regi_No,Class,Year,Date of Birth,Fathers Name,Mothers Name,Institute,Type,Email,Mobile No,Group,English,Mathematics,ICT,Photos
Student name0,58722,48961896,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name1,88534,55794836,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name2,86375,85922282,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name3,20780,83068272,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name4,54436,44487240,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name5,82407,38659263,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name6,46895,78406405,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name7,34892,21451690,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name8,66084,46346136,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
Student name9,22427,68586748,Class 6,2022,2022-11-07,Fathers Name,Mothers Name,Institute,Type,youremail@gmail.com,23253863,Group Name,93,57,63,URL
